individual,day,dive_no,total_N,total_rms,max_depth,dive_dur,Vair,BD,initial_depth,avg_pitch,avg_speed,glide_duration,cvar_pitch,cvar_roll
ml18_292a,2,69,182,1.240549415,447.7,786,2.941176471,1037.112,30.061068,-64.45933023,1.794865654,13,0.002909719,0.50623517
ml18_292a,2,71,197,1.236924079,476.5,871,15.54621849,1037.112,30.02618,-59.27824692,1.891308154,13,0.000634426,0.028017
ml18_292a,2,76,103,1.134709951,472.1,1025,0,1037.112,27.156525,-52.02716571,2.098701021,14,0.003419454,NA
ml18_292a,2,8,69,1.025083929,285.8,849,0,1037.112,7.3155627,-50.30307574,1.858971874,23,0.004007484,0.110187898
ml18_292a,2,9,69,1.060021131,292.7,853,0,1037.112,22.655151,-45.63165915,2.043283095,20,0.019895728,0.185813525
ml18_292a,24,10,74,1.054804324,720,984,20.16806723,1038.889,10.604037,-63.66239918,1.645960386,28,0.007235637,0.710005745
ml18_292a,24,15,73,1.035576245,307.4,948,5.462184874,1038.889,7.9238682,-46.20640415,1.81365781,20,0.005381356,0.016031617
ml18_292a,24,17,85,1.28648535,155.1,1073,0,1038.889,28.466335,-60.43932018,2.277390955,11,0.001940222,0.141620814
ml18_292a,24,18,155,1.154306836,183.6,915,3.361344538,1038.889,30.554176,-61.03393373,2.100003273,11,0.000336972,0.054155109
ml18_292a,24,24,173,1.225341122,611.4,1012,30.25210084,1038.889,28.145563,-76.88813571,1.712293243,14,0.000175333,0.015062556
ml18_292a,24,4,108,1.036566182,540,875,13.02521008,1038.889,12.518023,-57.38376238,1.781399781,26,0.00095686,0.061809844
ml18_292a,24,41,216,0.918497337,505.1,1368,4.621848739,1038.889,35.42112,-52.787852,1.806732318,11,4.41E-05,0.003562257
ml18_292a,24,45,277,1.111810591,728.9,1262,22.26890756,1038.889,33.677467,-60.93007627,1.846090664,11,0.000617235,0.130277683
ml18_292a,24,5,92,1.127535932,625.1,986,28.99159664,1038.889,11.582852,-69.02683207,1.524525,14,0.001777652,0.494501916
ml18_292a,24,6,132,1.083772934,531.3,1027,17.22689076,1038.889,11.854158,-61.86982735,1.734439408,26,0.003302987,0.428133062
ml18_292a,24,65,74,1.632789673,188.2,805,0,1038.889,29.091816,-60.99497064,2.321347173,11,0.002718563,0.195600373
ml18_292a,24,66,93,1.376735093,566.4,897,0,1038.889,26.278921,-50.63703457,2.256690029,14,0.000347134,0.001740437
ml18_292a,24,67,79,1.61395649,517.6,937,3.781512605,1038.889,16.895565,-39.62381773,2.192224277,22,0.000699509,0.005465196
ml18_292a,24,68,120,1.295161261,638.8,958,26.47058824,1038.889,20.532204,-41.18557462,1.760319431,13,7.35E-05,0.002765191
ml18_292a,24,69,140,1.411329069,529.9,906,22.68907563,1038.889,13.477914,-44.95254266,1.753208228,29,0.00292245,0.014082909
